Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BCONMobile,,,2018-01-15 09:20:45,2018-01-15 09:25:04,4m - 19.907s,FAILED
,,,,,,
Test Cases/SignIn,,,2018-01-15 09:20:45,2018-01-15 09:22:56,2m - 11.030s,PASSED
startApplication,,,2018-01-15 09:20:45,2018-01-15 09:22:28,1m - 42.523s,PASSED
tap,,,2018-01-15 09:22:28,2018-01-15 09:22:34,6.106s,PASSED
setText,,,2018-01-15 09:22:34,2018-01-15 09:22:43,8.657s,PASSED
setText,,,2018-01-15 09:22:43,2018-01-15 09:22:54,11.402s,PASSED
tap,,,2018-01-15 09:22:54,2018-01-15 09:22:55,0.842s,PASSED
tap,,,2018-01-15 09:22:55,2018-01-15 09:22:56,1.035s,PASSED
,,,,,,
Test Cases/TripRequest,,,2018-01-15 09:22:56,2018-01-15 09:24:57,2m - 1.024s,FAILED
startApplication,,,2018-01-15 09:22:56,2018-01-15 09:24:26,1m - 30.300s,PASSED
tap,,,2018-01-15 09:24:26,2018-01-15 09:24:57,30.544s,FAILED
